"","iso_o","pageRank_total.name","pageRank_total.wpr","close_total.name","close_total.closeness","outdegree_total.name","outdegree_total.degree","indegree_total.name","indegree_total.degree","local_clust_tt_total","local_clust_out_total"
"92","KEN",92,0.0032425248423173,92,17505.4256197261,92,840.444041031581,92,1787.9218976767,0.959192423959409,0.91412164778718
"93","KGZ",93,0.00199431098860746,93,13315.2723260157,93,357.184042227276,93,1078.48946775807,0.986477415260728,0.9798902689766
"94","KHM",94,0.00219631591971219,94,41628.5286393588,94,925.276479420331,94,1388.4693309088,0.988222408044694,0.991505566395433
"95","KIR",95,0.00152349147139527,95,1057.31500956185,95,13.389176432563,95,41.6910492354617,0.979488258501493,0.987378581103256
"96","KNA",96,0.00200275207772726,96,486.143521418172,96,10.5094757914483,96,88.9111353110243,0.973360051773591,0.959527237999625
"97","KOR",97,0.0165908475991784,97,154036.501647578,97,25986.6293116167,97,26923.7702587592,0.942927772677321,0.935871802086638
"98","KWT",98,0.0030695988555076,98,78825.1245705862,98,6760.29274142172,98,2784.18533634012,0.979742891533491,0.981054274080279
"99","LAO",99,0.00179892916372901,99,27965.7078368716,99,513.880183996723,99,567.394749421191,0.996053533094825,0.994744455017968
"100","LBN",100,0.00347798985487525,100,14788.3556891786,100,683.907868666746,100,2397.37539837119,0.957236829485438,0.923485909485561
"101","LBR",101,0.002399941046553,101,10199.8404634379,101,249.561183433017,101,2339.81159114482,0.994368096130206,0.98268660055915
"102","LBY",102,0.00290583361964197,102,85502.8893494651,102,5152.24556501616,102,2581.40961662059,0.997987483063478,0.998778793442784
"103","LCA",103,0.00228854760128011,103,2045.68840817298,103,40.4498310244286,103,684.272683373737,0.994589310183777,0.971011070842272
"104","LKA",104,0.00275325130833261,104,37105.17808684,104,1357.89135647504,104,1875.97585463842,0.970500787667003,0.963984283928967
"105","LSO",105,0.00174079377807444,105,10769.2550835409,105,163.921410163061,105,294.611670764662,0.997943085187946,0.997102503517269
"106","LTU",106,0.00295438207935117,106,38824.5620848828,106,2456.80395219762,106,2701.66993736938,0.967147007811063,0.947615944144193
"107","LUX",107,0.00293066354883714,107,53522.1573699993,107,2214.07226409979,107,2939.30232784803,0.989574935865074,0.989773461966383
"108","LVA",108,0.00268889463150935,108,23405.2527009659,108,1367.92273800461,108,2153.66282520409,0.964507806904161,0.947602748822235
