iso_o,Country,Time,gdp,gdp_pct,population,trade_gdp_ratio,log_gdp,log_trade_gdp_ratio,country,landlocked,continent,lat,lon,langoff_1,colonizer1,category,development,TIME_PERIOD,log_gdp_pct,log_population,D_log_gdp_pct,D_log_gdp
KEN,Kenya,2006,25825512284.29,699.8,36904008.0,55.24,23.97462868851393,4.0116873285410914,Kenya,0,Africa,-1.2833333,36.833332,English,GBR,Emerging and Developing Economies,0.0,2006,6.5507946,17.42383,0.29033375,0.32081413
KIR,Kiribati,2006,112338353.26,1123.19,100017.0,94.05,18.537025886424537,4.54382655574704,Kiribati,0,Pacific,1.3833333,173.14999,English,GBR,Emerging and Developing Economies,0.0,2006,7.0239282,11.513096,-0.033780575,-0.013765335
PRK,"Korea, Dem. People's Rep.",2006,1341061898103.3157,,24524507.0,,27.924482877330856,,Korea,0,Asia,39.0,125.78333,Korean,JPN,Advanced Economies,1.0,2006,10.9093,17.015184,0.085368156,0.090602875
KOR,"Korea, Rep.",2006,1053216909887.56,21743.48,48438292.0,70.65,27.682870320162767,4.257738109130536,Korea,0,Asia,37.5,127.0,Korean,JPN,Advanced Economies,1.0,2006,9.9870691,17.695801,0.11391163,0.11916351
KWT,Kuwait,2006,101557330723.42,42946.64,2364733.0,89.71,25.343889310682663,4.496582245571192,Kuwait,0,Asia,29.333334,48.0,Arabic,GBR,Emerging and Developing Economies,0.0,2006,10.667714,14.676176,0.17303944,0.22866249
KGZ,Kyrgyz Republic,2006,2834168889.42,543.11,5218373.0,120.75,21.765014570447715,4.793722292532682,Kyrgyz Republic,1,Asia,42.900002,74.599998,Kyrgyz,RUS,Emerging and Developing Economies,0.0,2006,6.2973118,15.467696,0.13073921,0.14148712
LAO,Lao PDR,2006,3455030060.98,579.39,5963200.0,81.96,21.963096994845998,4.406231323370699,Lao P.D.R.,1,Asia,17.983334,102.63333,Lao,FRA,Emerging and Developing Economies,0.0,2006,6.3619757,15.601118,0.21766138,0.23349571
LVA,Latvia,2006,20434922247.3,9211.74,2218357.0,105.7,23.74051114907653,4.660604892876192,Latvia,0,Europe,56.950001,24.1,Latvian,RUS,Advanced Economies,1.0,2006,9.1282339,14.612277,0.23482704,0.2256546
LBN,Lebanon,2006,22022709851.41,4635.25,4751136.0,91.07,23.81534002385776,4.511628441579727,Lebanon,0,Asia,33.866665,35.5,Arabic,FRA,Emerging and Developing Economies,0.0,2006,8.4414454,15.373895,0.0071554184,0.024145126
LSO,Lesotho,2006,1800092563.75,925.47,1945063.0,,21.3111039248319,,Lesotho,1,Africa,-29.316668,27.483334,English,GBR,Emerging and Developing Economies,0.0,2006,6.8303018,14.480805,0.0717659,0.067649841
