iso_o,iso_d,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces
AFG,AUS,0,0,0,0,0,0,0,0,11433.487,11365.442,11086.14057,11020.75097
AFG,AUT,0,0,0,0,0,0,0,0,4568.0977,4568.0977,4567.30199,4557.808571
AFG,AZE,0,0,0,0,0,0,0,0,1822.2172,1822.2172,1821.71868,1796.368103
AFG,BDI,0,0,0,0,0,0,0,0,5930.0571,5930.0571,5849.066546,5842.157165
AFG,BEL,0,0,0,0,0,0,0,0,5416.1211,5416.1211,5331.891731,5326.836645
AFG,BEN,0,0,0,0,0,0,0,0,7481.0063,7450.4736,7330.657065,7323.32735
AFG,BFA,0,0,0,0,0,0,0,0,7497.5952,7497.5952,7464.209599,7456.055883
AFG,BGD,0,0,0,0,0,0,0,0,2376.9783,2376.9783,2488.676089,2472.729071
AFG,BGR,0,0,0,0,0,0,0,0,4043.0049,4043.0049,3819.042931,3805.976514
AFG,BHR,0,0,0,0,0,0,0,0,2004.4336,2004.4336,1940.469819,1917.156701
AFG,BHS,0,0,0,0,0,0,0,0,12518.579,12518.579,12427.12293,12425.3178
AFG,BIH,0,0,0,0,0,0,0,0,4428.6143,4428.6143,4374.742947,4367.222385
AFG,BLR,0,0,0,0,0,0,0,0,3880.9001,3880.9001,3766.026549,3755.023174
AFG,BLZ,0,0,0,0,0,0,0,0,13822.816,13822.816,13714.66112,13713.0285
AFG,BMU,0,0,0,0,0,0,0,0,11177.655,11177.655,11089.69095,11087.73368
AFG,BOL,0,0,0,0,0,0,0,0,15349.948,15240.552,15100.64901,15096.34316
AFG,BRA,0,0,0,0,0,0,0,0,13771.763,13470.08,13223.75192,13180.01534
AFG,BRB,0,0,0,0,0,0,0,0,12465.547,12465.547,12371.20652,12369.00355
AFG,BRN,0,0,0,0,0,0,0,0,5741.1406,5741.1406,5823.199356,5818.071961
AFG,BTN,0,0,0,0,0,0,0,0,2103.501,2103.501,2231.291242,2215.83949
AFG,BWA,0,0,0,0,0,0,0,0,8023.7671,8023.7671,7847.091742,7838.708443
AFG,CAF,0,0,0,0,0,0,0,0,6188.3154,6188.3154,6083.534308,6071.669685
AFG,CAN,0,0,0,0,0,0,0,0,10768.887,10461.271,10516.29308,10508.32491
AFG,CCK,0,0,0,0,0,0,0,0,5992.4653,5992.4653,,
AFG,CHE,0,0,0,0,0,0,0,0,5247.0435,5247.0435,5136.084735,5129.577723
AFG,CHL,0,0,0,0,0,0,0,0,16353.896,16353.896,16262.29069,16257.02174
